,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Series_ist,Duration
75,575,1,2018-12-31 23:53:40,2019-01-01 00:15:40,2,2.4,1,N,186,163,1,14.5,0.5,0.5,0.0,0.0,0.3,15.8,2019-01-01 05:45:40+05:30,22
76,576,1,2018-12-31 23:53:40,2018-12-31 23:59:26,2,1.1,1,N,263,239,1,6.5,0.5,0.5,1.2,0.0,0.3,9.0,2019-01-01 05:29:26+05:30,5
77,577,1,2018-12-31 23:53:40,2019-01-01 00:03:07,1,2.5,1,N,239,152,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2019-01-01 05:33:07+05:30,9
78,578,2,2018-12-31 23:53:39,2019-01-01 00:20:42,1,17.72,2,N,132,79,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,2019-01-01 05:50:42+05:30,27
79,579,1,2018-12-31 23:53:38,2019-01-01 00:00:20,1,0.4,1,N,68,158,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2019-01-01 05:30:20+05:30,6
80,580,1,2018-12-31 23:53:38,2019-01-01 00:13:02,1,4.0,1,N,228,97,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,2019-01-01 05:43:02+05:30,19
81,581,2,2018-12-31 23:53:36,2019-01-01 00:08:41,1,1.71,1,N,113,137,1,10.5,0.5,0.5,0.0,0.0,0.3,11.8,2019-01-01 05:38:41+05:30,15
82,582,2,2018-12-31 23:53:33,2019-01-01 00:05:17,5,2.82,1,N,151,237,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2019-01-01 05:35:17+05:30,11
83,583,1,2018-12-31 23:53:31,2019-01-01 00:24:57,1,8.8,1,N,142,56,2,30.0,0.5,0.5,0.0,0.0,0.3,31.3,2019-01-01 05:54:57+05:30,31
84,584,1,2018-12-31 23:53:29,2018-12-31 23:58:16,2,1.5,1,N,79,233,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,2019-01-01 05:28:16+05:30,4
85,585,2,2018-12-31 23:53:26,2019-01-01 00:09:56,1,6.53,1,N,211,228,1,19.5,0.5,0.5,5.2,0.0,0.3,26.0,2019-01-01 05:39:56+05:30,16
86,586,2,2018-12-31 23:53:26,2019-01-01 00:00:42,3,1.86,1,N,236,237,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2019-01-01 05:30:42+05:30,7
87,587,2,2018-12-31 23:53:25,2018-12-31 23:53:38,1,0.0,2,N,238,238,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,2019-01-01 05:23:38+05:30,0
88,588,2,2018-12-31 23:53:25,2019-01-01 00:07:22,1,1.94,1,N,161,107,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,2019-01-01 05:37:22+05:30,13
89,589,1,2018-12-31 23:53:25,2019-01-01 00:25:36,3,20.8,4,N,138,265,2,75.5,0.5,0.5,0.0,5.76,0.3,82.56,2019-01-01 05:55:36+05:30,32
90,590,2,2018-12-31 23:53:24,2018-12-31 23:55:53,5,0.46,1,N,239,239,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:25:53+05:30,2
91,591,1,2018-12-31 23:53:23,2019-01-01 00:07:37,1,1.6,1,N,164,68,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2019-01-01 05:37:37+05:30,14
92,592,1,2018-12-31 23:53:23,2018-12-31 23:59:15,1,2.1,1,N,236,74,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2019-01-01 05:29:15+05:30,5
93,593,2,2018-12-31 23:53:22,2019-01-01 00:16:38,5,8.91,1,N,239,33,1,26.5,0.5,0.5,8.34,0.0,0.3,36.14,2019-01-01 05:46:38+05:30,23
94,594,1,2018-12-31 23:53:22,2018-12-31 23:56:15,1,0.5,1,N,144,79,1,4.0,0.5,0.5,3.0,0.0,0.3,8.3,2019-01-01 05:26:15+05:30,2
95,595,1,2018-12-31 23:53:21,2018-12-31 23:55:05,1,0.3,1,N,7,7,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,2019-01-01 05:25:05+05:30,1
96,596,2,2018-12-31 23:53:20,2018-12-31 23:58:28,1,0.9,1,N,234,79,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,2019-01-01 05:28:28+05:30,5
97,597,1,2018-12-31 23:53:19,2019-01-01 00:35:52,1,8.8,1,N,170,257,1,33.5,0.5,0.5,6.95,0.0,0.3,41.75,2019-01-01 06:05:52+05:30,42
98,598,2,2018-12-31 23:53:19,2018-12-31 23:59:19,1,1.27,1,N,7,179,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2019-01-01 05:29:19+05:30,6
99,599,1,2018-12-31 23:53:18,2018-12-31 23:59:49,2,1.1,1,N,68,246,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2019-01-01 05:29:49+05:30,6
100,600,1,2018-12-31 23:53:18,2019-01-01 00:11:23,1,4.8,1,N,48,42,4,17.0,0.5,0.5,0.0,0.0,0.3,18.3,2019-01-01 05:41:23+05:30,18
101,601,2,2018-12-31 23:53:17,2019-01-01 00:04:24,1,2.01,1,N,79,162,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2019-01-01 05:34:24+05:30,11
102,602,1,2018-12-31 23:53:17,2018-12-31 23:55:45,1,0.4,1,N,107,107,1,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:25:45+05:30,2
103,603,1,2018-12-31 23:53:16,2019-01-01 00:24:48,1,19.1,2,N,132,236,3,52.0,0.0,0.5,0.0,5.76,0.3,58.56,2019-01-01 05:54:48+05:30,31
104,604,1,2018-12-31 23:53:15,2019-01-01 00:06:12,3,1.2,1,N,107,170,1,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2019-01-01 05:36:12+05:30,12
105,605,2,2018-12-31 23:53:15,2019-01-01 00:08:27,2,1.51,1,N,186,50,1,10.5,0.5,0.5,0.0,0.0,0.3,11.8,2019-01-01 05:38:27+05:30,15
106,606,2,2018-12-31 23:53:15,2019-01-01 00:00:10,1,1.45,1,N,196,56,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2019-01-01 05:30:10+05:30,6
107,607,2,2018-12-31 23:53:14,2019-01-01 00:02:59,1,3.11,1,N,142,152,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2019-01-01 05:32:59+05:30,9
108,608,2,2018-12-31 23:53:14,2019-01-01 00:04:20,2,0.49,1,N,161,164,1,8.0,0.5,0.5,1.4,0.0,0.3,10.7,2019-01-01 05:34:20+05:30,11
109,609,1,2018-12-31 23:53:09,2019-01-01 00:08:20,1,2.3,1,N,161,140,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0,2019-01-01 05:38:20+05:30,15
110,610,2,2018-12-31 23:53:09,2019-01-01 00:00:27,1,0.52,1,N,234,107,1,5.0,0.5,0.5,1.89,0.0,0.3,8.19,2019-01-01 05:30:27+05:30,7
111,611,2,2018-12-31 23:53:07,2018-12-31 23:56:15,1,0.82,1,N,236,263,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2019-01-01 05:26:15+05:30,3
112,612,2,2018-12-31 23:53:06,2018-12-31 23:54:31,1,0.4,1,N,162,162,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76,2019-01-01 05:24:31+05:30,1
113,613,2,2018-12-31 23:53:05,2019-01-01 00:11:05,5,2.75,1,N,142,137,1,13.5,0.5,0.5,1.8,0.0,0.3,16.6,2019-01-01 05:41:05+05:30,18
